iter	RMSE
180	1.653086388
181	1.645760735
182	1.637393413
183	1.630137304
184	1.62291335
185	1.614668998
186	1.607513592
187	1.600389895
188	1.593297768
189	1.586237068
190	1.579207659
191	1.5722094
192	1.565242154
193	1.558305783
194	1.551400151
195	1.5435256
196	1.536685466
197	1.529875644
198	1.523096
199	1.5163464
200	1.50865615
201	1.50197054
202	1.495314558
203	1.488688071
204	1.48209095
205	1.475523064
206	1.468984283
207	1.462474479
208	1.455993523
209	1.449541288
210	1.443117645
211	1.436722469
212	1.430355634
213	1.423107513
214	1.416801012
215	1.410522458
216	1.404271728
217	1.398048698
218	1.391853245
219	1.385685247
220	1.379544583
221	1.372559754
222	1.366477256
223	1.360421711
224	1.354393002
225	1.34839101
226	1.342415615
227	1.3364667
228	1.330544148
229	1.324647841
230	1.318777664
231	1.312933501
232	1.307115236
233	1.301322754
234	1.295555943
235	1.289001827
236	1.283289615
237	1.277602717
238	1.271941021
239	1.266304414
240	1.260692786
241	1.255106025
242	1.249544023
243	1.244006668
244	1.238493853
245	1.233005467
246	1.227541403
247	1.222101553
248	1.21668581
249	1.211294067
250	1.205926217
251	1.200582155
252	1.195261775
253	1.189964972
254	1.184691643
255	1.179441681
256	1.174214986
257	1.169011452
258	1.163830977
259	1.15867346
260	1.153538799
261	1.148426891
262	1.143337638
263	1.138270937
264	1.133226689
265	1.128204795
266	1.123205155
267	1.118227671
268	1.113272245
269	1.108338779
270	1.103427176
271	1.098537338
272	1.09366917
273	1.088822575
274	1.083997457
275	1.079193723
276	1.074411276
277	1.069650022
278	1.064909868
279	1.060190719
280	1.055492484
281	1.050815069
282	1.046158382
283	1.041522331
284	1.036906825
285	1.032311772
286	1.027737082
287	1.023182665
288	1.018648431
289	1.014134291
290	1.009640154
291	1.005165934
292	1.000711541
293	0.9962768878
294	0.9918618866
295	0.9874664506
296	0.9830904929
297	0.9787339273
298	0.9743966678
299	0.9700786289
300	0.9657797253
301	0.9614998724
302	0.9572389856
303	0.9529969809
304	0.9487737747
305	0.9445692837
306	0.9403834248
307	0.9362161155
308	0.9320672737
309	0.9279368175
310	0.9238246654
311	0.9197307363
312	0.9156549495
313	0.9115972245
314	0.9075574813
315	0.9035356402
316	0.8995316219
317	0.8955453475
318	0.8915767382
319	0.8876257158
320	0.8836922023
321	0.8797761202
322	0.8758773923
323	0.8719959415
324	0.8681316914
325	0.8642845657
326	0.8604544886
327	0.8566413844
328	0.8528451781
329	0.8490657946
330	0.8453031594
331	0.8415571984
332	0.8378278376
333	0.8341150034
334	0.8304186227
335	0.8267386225
336	0.8230749302
337	0.8194274736
338	0.8157961806
339	0.8121809798
340	0.8085817997
341	0.8049985694
342	0.8014312181
343	0.7978796756
344	0.7943438717
345	0.7908237368
346	0.7873192013
347	0.7838301962
348	0.7803566526
349	0.776898502
350	0.7734556762
351	0.7700281073
352	0.7666157277
353	0.76321847
354	0.7598362673
355	0.7564690528
356	0.7531167601
357	0.7497793231
358	0.746456676
359	0.7431487531
360	0.7398554894
361	0.7365768197
362	0.7333126794
363	0.7300630042
364	0.72682773
365	0.7236067928
366	0.7204001292
367	0.717207676
368	0.7140293701
369	0.7108651489
370	0.7077149499
371	0.704578711
372	0.7014563704
373	0.6983478664
374	0.6952531378
375	0.6921721234
376	0.6891047626
377	0.6860509948
378	0.6830107597
379	0.6799839975
380	0.6769706483
381	0.6739706528
382	0.6709839518
383	0.6680104864
384	0.6650501978
385	0.6621030278
386	0.6591689182
387	0.656247811
388	0.6533396488
389	0.6504443741
390	0.6475619298
391	0.644692259
392	0.6418353052
393	0.638991012
394	0.6361593233
395	0.6333401832
396	0.6305335361
397	0.6277393266
398	0.6249574998
399	0.6221880005
400	0.6194307743
401	0.6166857668
402	0.6139529238
403	0.6112321913
404	0.6085235158
405	0.6058268438
406	0.6031421221
407	0.6004692977
408	0.5978083179
409	0.5951591303
410	0.5925216826
411	0.5898959227
412	0.5872817988
413	0.5846792595
414	0.5820882533
415	0.5795087291
416	0.5769406362
417	0.5743839237
418	0.5718385413
419	0.5693044387
420	0.566781566
421	0.5642698735
422	0.5617693115
423	0.5592798307
424	0.5568013821
425	0.5543339167
426	0.5518773859
427	0.5494317412
428	0.5469969344
429	0.5445729174
430	0.5421596425
431	0.539757062
432	0.5373651285
433	0.5349837949
434	0.5326130141
435	0.5302527395
436	0.5279029244
437	0.5255635226
438	0.5232344878
439	0.5209157741
440	0.5186073358
441	0.5163091273
442	0.5140211034
443	0.5117432188
444	0.5094754287
445	0.5072176883
446	0.504969953
447	0.5027321786
448	0.5005043209
449	0.498286336
450	0.49607818
451	0.4938798095
452	0.4916911811
453	0.4895122516
454	0.487342978
455	0.4851833175
456	0.4830332276
457	0.4808926658
458	0.4787615899
459	0.4766399579
460	0.4745277279
461	0.4724248582
462	0.4703313074
463	0.4682470342
464	0.4661719974
465	0.4641061561
466	0.4620494696
467	0.4600018974
468	0.4579633989
469	0.4559339341
470	0.4539134628
471	0.4519019452
472	0.4498993417
473	0.4479056128
474	0.445920719
475	0.4439446213
476	0.4419772806
477	0.4400186583
478	0.4380687155
479	0.436127414
480	0.4341947153
481	0.4322705814
482	0.4303549743
483	0.4284478562
484	0.4265491894
485	0.4246589367
486	0.4227770605
487	0.420903524
488	0.4190382899
489	0.4171813217
490	0.4153325827
491	0.4134920363
492	0.4116596463
493	0.4098353765
494	0.408019191
495	0.4062110539
496	0.4044109296
497	0.4026187825
498	0.4008345773
499	0.3990582789
500	0.3972898521
501	0.395529262
502	0.3937764741
503	0.3920314536
504	0.3902941662
505	0.3885645775
506	0.3868426536
507	0.3851283603
508	0.3834216639
509	0.3817225308
510	0.3800309274
511	0.3783468203
512	0.3766701763
513	0.3750009624
514	0.3733391456
515	0.3716846931
516	0.3700375724
517	0.3683977508
518	0.3667651962
519	0.3651398762
520	0.3635217588
521	0.361910812
522	0.3603070042
523	0.3587103037
524	0.357120679
525	0.3555380987
526	0.3539625315
527	0.3523939465
528	0.3508323127
529	0.3492775993
530	0.3477297756
531	0.346188811
532	0.3446546753
533	0.3431273381
534	0.3416067692
535	0.3400929388
536	0.3385858169
537	0.3370853738
538	0.33559158
539	0.3341044058
540	0.3326238221
541	0.3311497996
542	0.3296823093
543	0.3282213221
544	0.3267668093
545	0.3253187421
546	0.3238770921
547	0.3224418307
548	0.3210129297
549	0.3195903609
550	0.3181740962
551	0.3167641076
552	0.3153603674
553	0.3139628479
554	0.3125715215
555	0.3111863608
556	0.3098073384
557	0.3084344272
558	0.3070676
559	0.3057068299
560	0.30435209
561	0.3030033537
562	0.3016605943
563	0.3003237854
564	0.2989929005
565	0.2976679134
566	0.296348798
567	0.2950355283
568	0.2937280783
569	0.2924264223
570	0.2911305346
571	0.2898403896
572	0.2885559619
573	0.2872772261
574	0.2860041571
575	0.2847367296
576	0.2834749188
577	0.2822186996
578	0.2809680474
579	0.2797229375
580	0.2784833453
581	0.2772492463
582	0.2760206163
583	0.2747974309
584	0.273579666
585	0.2723672977
586	0.271160302
587	0.2699586551
588	0.2687623333
589	0.267571313
590	0.2663855707
591	0.265205083
592	0.2640298266
593	0.2628597784
594	0.2616949153
595	0.2605352143
596	0.2593806524
597	0.258231207
598	0.2570868554
599	0.255947575
600	0.2548133433
601	0.2536841379
602	0.2525599367
603	0.2514407173
604	0.2503264577
605	0.249217136
606	0.2481127302
607	0.2470132186
608	0.2459185795
609	0.2448287913
610	0.2437438325
611	0.2426636817
612	0.2415883176
613	0.2405177189
614	0.2394518646
615	0.2383907337
616	0.2373343051
617	0.2362825581
618	0.2352354719
619	0.2341930259
620	0.2331551995
621	0.2321219722
622	0.2310933237
623	0.2300692336
624	0.2290496817
625	0.228034648
626	0.2270241125
627	0.2260180551
628	0.2250164561
629	0.2240192956
630	0.2230265541
631	0.2220382119
632	0.2210542495
633	0.2200746476
634	0.2190993868
635	0.2181284478
636	0.2171618116
637	0.216199459
638	0.2152413711
639	0.2142875289
640	0.2133379137
641	0.2123925067
642	0.2114512893
643	0.2105142429
644	0.209581349
645	0.2086525892
646	0.2077279453
647	0.2068073989
648	0.2058909319
649	0.2049785262
650	0.2040701638
651	0.2031658269
652	0.2022654975
653	0.2013691579
654	0.2004767905
655	0.1995883775
656	0.1987039016
657	0.1978233453
658	0.1969466911
659	0.1960739218
660	0.1952050202
661	0.1943399691
662	0.1934787516
663	0.1926213504
664	0.1917677489
665	0.1909179301
666	0.1900718773
667	0.1892295737
668	0.1883910029
669	0.1875561481
670	0.186724993
671	0.1858975212
672	0.1850737163
673	0.1842535621
674	0.1834370425
675	0.1826241412
676	0.1818148423
677	0.1810091298
678	0.1802069878
679	0.1794084005
680	0.1786133522
681	0.1778218271
682	0.1770338097
683	0.1762492843
684	0.1754682356
685	0.1746906481
686	0.1739165065
687	0.1731457954
688	0.1723784998
689	0.1716146045
690	0.1708540944
691	0.1700969544
692	0.1693431698
693	0.1685927255
694	0.1678456068
695	0.167101799
696	0.1663612873
697	0.1656240573
698	0.1648900942
699	0.1641593838
700	0.1634319115
701	0.1627076629
702	0.1619866239
703	0.1612687802
704	0.1605541175
705	0.159842622
706	0.1591342794
707	0.1584290758
708	0.1577269973
709	0.1570280301
710	0.1563321604
711	0.1556393744
712	0.1549496585
713	0.1542629991
714	0.1535793826
715	0.1528987955
716	0.1522212245
717	0.1515466561
718	0.1508750771
719	0.1502064742
720	0.1495408342
721	0.148878144
722	0.1482183904
723	0.1475615606
724	0.1469076416
725	0.1462566203
726	0.1456084841
727	0.1449632201
728	0.1443208156
729	0.1436812579
730	0.1430445344
731	0.1424106325
732	0.1417795398
733	0.1411512437
734	0.140525732
735	0.1399029922
736	0.139283012
737	0.1386657794
738	0.1380512819
739	0.1374395077
740	0.1368304445
741	0.1362240804
742	0.1356204033
743	0.1350194015
744	0.134421063
745	0.1338253761
746	0.1332323289
747	0.1326419098
748	0.1320541072
749	0.1314689094
750	0.1308863049
751	0.1303062822
752	0.1297288299
753	0.1291539366
754	0.1285815909
755	0.1280117816
756	0.1274444974
757	0.1268797271
758	0.1263174595
759	0.1257576837
760	0.1252003885
761	0.124645563
762	0.1240931962
763	0.1235432771
764	0.1229957951
765	0.1224507392
766	0.1219080988
767	0.121367863
768	0.1208300213
769	0.1202945631
770	0.1197614777
771	0.1192307547
772	0.1187023836
773	0.118176354
774	0.1176526554
775	0.1171312777
776	0.1166122104
777	0.1160954434
778	0.1155809664
779	0.1150687694
780	0.1145588421
781	0.1140511746
782	0.1135457568
783	0.1130425787
784	0.1125416306
785	0.1120429023
786	0.1115463842
787	0.1110520664
788	0.1105599391
789	0.1100699927
790	0.1095822176
791	0.1090966039
792	0.1086131423
793	0.1081318232
794	0.107652637
795	0.1071755743
796	0.1067006258
797	0.1062277819
798	0.1057570335
799	0.1052883712
800	0.1048217858
801	0.104357268
802	0.1038948088
803	0.1034343989
804	0.1029760294
805	0.1025196911
806	0.1020653751
807	0.1016130723
808	0.101162774
809	0.1007144712
810	0.100268155
811	0.09982381662
812	0.09938144737
813	0.09894103848
814	0.09850258126
815	0.09806606706
816	0.09763148727
817	0.09719883333
818	0.09676809669
819	0.09633926886
820	0.09591234138
821	0.09548730583
822	0.09506415382
823	0.09464287701
824	0.09422346709
825	0.09380591579
826	0.09339021487
827	0.09297635612
828	0.09256433139
829	0.09215413254
830	0.0917457515
831	0.09133918019
832	0.0909344106
833	0.09053143475
834	0.09013024469
835	0.0897308325
836	0.08933319031
837	0.08893731027
838	0.08854318457
839	0.08815080544
840	0.08776016513
841	0.08737125595
842	0.08698407022
843	0.08659860031
844	0.0862148386
845	0.08583277754
846	0.08545240958
847	0.08507372721
848	0.08469672298
849	0.08432138945
850	0.0839477192
851	0.08357570487
852	0.08320533913
853	0.08283661466
854	0.0824695242
855	0.08210406049
856	0.08174021634
857	0.08137798456
858	0.08101735802
859	0.08065832959
860	0.08030089219
861	0.07994503878
862	0.07959076233
863	0.07923805586
864	0.07888691241
865	0.07853732505
866	0.07818928688
867	0.07784279105
868	0.07749783071
869	0.07715439907
870	0.07681248934
871	0.07647209479
872	0.07613320869
873	0.07579582437
874	0.07545993517
875	0.07512553446
876	0.07479261564
877	0.07446117216
878	0.07413119747
879	0.07380268506
880	0.07347562845
881	0.0731500212
882	0.07282585687
883	0.07250312908
884	0.07218183146
885	0.07186195766
886	0.07154350139
887	0.07122645636
888	0.07091081631
889	0.07059657502
890	0.07028372629
891	0.06997226395
892	0.06966218185
893	0.06935347389
894	0.06904613396
895	0.06874015601
896	0.068435534
897	0.06813226193
898	0.0678303338
899	0.06752974367
900	0.06723048561
901	0.0669325537
902	0.06663594208
903	0.0663406449
904	0.06604665633
905	0.06575397056
906	0.06546258184
907	0.0651724844
908	0.06488367253
909	0.06459614052
910	0.06430988272
911	0.06402489347
912	0.06374116715
913	0.06345869816
914	0.06317748093
915	0.06289750992
916	0.0626187796
917	0.06234128447
918	0.06206501906
919	0.06178997792
920	0.06151615563
921	0.06124354678
922	0.060972146
923	0.06070194793
924	0.06043294724
925	0.06016513863
926	0.05989851681
927	0.05963307652
928	0.05936881254
929	0.05910571964
930	0.05884379264
931	0.05858302637
932	0.05832341568
933	0.05806495546
934	0.0578076406
935	0.05755146604
936	0.05729642671
937	0.05704251759
938	0.05678973366
939	0.05653806995
940	0.05628752149
941	0.05603808333
942	0.05578975056
943	0.05554251828
944	0.0552963816
945	0.05505133568
946	0.05480737568
947	0.05456449679
948	0.05432269422
949	0.05408196319
950	0.05384229897
951	0.05360369682
952	0.05336615203
953	0.05312965992
954	0.05289421583
955	0.0526598151
956	0.05242645313
957	0.0521941253
958	0.05196282702
959	0.05173255375
960	0.05150330093
961	0.05127506405
962	0.0510478386
963	0.0508216201
964	0.05059640408
965	0.05037218611
966	0.05014896177
967	0.04992672664
968	0.04970547634
969	0.04948520652
970	0.04926591282
971	0.04904759092
972	0.04883023652
973	0.04861384532
974	0.04839841306
975	0.04818393549
976	0.04797040837
977	0.0477578275
978	0.04754618869
979	0.04733548775
980	0.04712572053
981	0.04691688289
982	0.04670897072
983	0.04650197991
984	0.04629590638
985	0.04609074607
986	0.04588649493
987	0.04568314892
988	0.04548070404
989	0.0452791563
990	0.04507850171
991	0.04487873632
992	0.0446798562
993	0.04448185741
994	0.04428473606
995	0.04408848825
996	0.04389311011
997	0.04369859778
998	0.04350494744
999	0.04331215526
